Survived,Pclass,Sex,Age,Fare,Family_cnt,Cabin_ind
0,3,male,22.0,7.25,1,0
1,1,female,38.0,71.2833,1,1
1,3,female,26.0,7.925,0,0
1,1,female,35.0,53.1,1,1
0,3,male,35.0,8.05,0,0
0,3,male,29.69911764705882,8.4583,0,0
0,1,male,54.0,51.8625,0,1
0,3,male,2.0,21.075,4,0
1,3,female,27.0,11.1333,2,0
1,2,female,14.0,30.0708,1,0
1,3,female,4.0,16.7,2,1
1,1,female,58.0,26.55,0,1
0,3,male,20.0,8.05,0,0
0,3,male,39.0,31.275,6,0
0,3,female,14.0,7.8542,0,0
1,2,female,55.0,16.0,0,0
0,3,male,2.0,29.125,5,0
1,2,male,29.69911764705882,13.0,0,0
0,3,female,31.0,18.0,1,0
1,3,female,29.69911764705882,7.225,0,0
0,2,male,35.0,26.0,0,0
1,2,male,34.0,13.0,0,1
1,3,female,15.0,8.0292,0,0
1,1,male,28.0,35.5,0,1
0,3,female,8.0,21.075,4,0
1,3,female,38.0,31.3875,6,0
0,3,male,29.69911764705882,7.225,0,0
0,1,male,19.0,263.0,5,1
1,3,female,29.69911764705882,7.8792,0,0
0,3,male,29.69911764705882,7.8958,0,0
0,1,male,40.0,27.7208,0,0
1,1,female,29.69911764705882,146.5208,1,1
1,3,female,29.69911764705882,7.75,0,0
0,2,male,66.0,10.5,0,0
0,1,male,28.0,82.1708,1,0
0,1,male,42.0,52.0,1,0
1,3,male,29.69911764705882,7.2292,0,0
0,3,male,21.0,8.05,0,0
0,3,female,18.0,18.0,2,0
1,3,female,14.0,11.2417,1,0
0,3,female,40.0,9.475,1,0
0,2,female,27.0,21.0,1,0
0,3,male,29.69911764705882,7.8958,0,0
1,2,female,3.0,41.5792,3,0
1,3,female,19.0,7.8792,0,0
0,3,male,29.69911764705882,8.05,0,0
0,3,male,29.69911764705882,15.5,1,0
1,3,female,29.69911764705882,7.75,0,0
0,3,male,29.69911764705882,21.6792,2,0
0,3,female,18.0,17.8,1,0
0,3,male,7.0,39.6875,5,0
0,3,male,21.0,7.8,0,0
1,1,female,49.0,76.7292,1,1
1,2,female,29.0,26.0,1,0
0,1,male,65.0,61.9792,1,1
1,1,male,29.69911764705882,35.5,0,1
1,2,female,21.0,10.5,0,0
0,3,male,28.5,7.2292,0,0
1,2,female,5.0,27.75,3,0
0,3,male,11.0,46.9,7,0
0,3,male,22.0,7.2292,0,0
1,1,female,38.0,80.0,0,1
0,1,male,45.0,83.475,1,1
0,3,male,4.0,27.9,5,0
0,1,male,29.69911764705882,27.7208,0,0
1,3,male,29.69911764705882,15.2458,2,0
1,2,female,29.0,10.5,0,1
0,3,male,19.0,8.1583,0,0
1,3,female,17.0,7.925,6,0
0,3,male,26.0,8.6625,2,0
0,2,male,32.0,10.5,0,0
0,3,female,16.0,46.9,7,0
0,2,male,21.0,73.5,0,0
0,3,male,26.0,14.4542,1,0
1,3,male,32.0,56.4958,0,0
0,3,male,25.0,7.65,0,1
0,3,male,29.69911764705882,7.8958,0,0
0,3,male,29.69911764705882,8.05,0,0
1,2,male,0.83,29.0,2,0
1,3,female,30.0,12.475,0,0
0,3,male,22.0,9.0,0,0
1,3,male,29.0,9.5,0,0
1,3,female,29.69911764705882,7.7875,0,0
0,1,male,28.0,47.1,0,0
1,2,female,17.0,10.5,0,0
1,3,female,33.0,15.85,3,0
0,3,male,16.0,34.375,4,0
0,3,male,29.69911764705882,8.05,0,0
1,1,female,23.0,263.0,5,1
0,3,male,24.0,8.05,0,0
0,3,male,29.0,8.05,0,0
0,3,male,20.0,7.8542,0,0
0,1,male,46.0,61.175,1,1
0,3,male,26.0,20.575,3,0
0,3,male,59.0,7.25,0,0
0,3,male,29.69911764705882,8.05,0,0
0,1,male,71.0,34.6542,0,1
1,1,male,23.0,63.3583,1,1
1,2,female,34.0,23.0,1,0
0,2,male,34.0,26.0,1,0
0,3,female,28.0,7.8958,0,0
0,3,male,29.69911764705882,7.8958,0,0
0,1,male,21.0,77.2875,1,1
0,3,male,33.0,8.6542,0,0
0,3,male,37.0,7.925,2,0
0,3,male,28.0,7.8958,0,0
1,3,female,21.0,7.65,0,0
1,3,male,29.69911764705882,7.775,0,0
0,3,male,38.0,7.8958,0,0
1,3,female,29.69911764705882,24.15,1,0
0,1,male,47.0,52.0,0,1
0,3,female,14.5,14.4542,1,0
0,3,male,22.0,8.05,0,0
0,3,female,20.0,9.825,1,0
0,3,female,17.0,14.4583,0,0
0,3,male,21.0,7.925,0,0
0,3,male,70.5,7.75,0,0
0,2,male,29.0,21.0,1,0
0,1,male,24.0,247.5208,1,1
0,3,female,2.0,31.275,6,0
0,2,male,21.0,73.5,2,0
0,3,male,29.69911764705882,8.05,0,0
0,2,male,32.5,30.0708,1,0
1,2,female,32.5,13.0,0,1
0,1,male,54.0,77.2875,1,1
1,3,male,12.0,11.2417,1,0
0,3,male,29.69911764705882,7.75,0,0
1,3,male,24.0,7.1417,0,0
1,3,female,29.69911764705882,22.3583,2,1
0,3,male,45.0,6.975,0,0
0,3,male,33.0,7.8958,0,0
0,3,male,20.0,7.05,0,0
0,3,female,47.0,14.5,1,0
1,2,female,29.0,26.0,1,0
0,2,male,25.0,13.0,0,0
0,2,male,23.0,15.0458,0,0
1,1,female,19.0,26.2833,2,1
0,1,male,37.0,53.1,1,1
0,3,male,16.0,9.2167,0,0
0,1,male,24.0,79.2,0,1
0,3,female,29.69911764705882,15.2458,2,0
1,3,female,22.0,7.75,0,0
1,3,female,24.0,15.85,1,0
0,3,male,19.0,6.75,0,0
0,2,male,18.0,11.5,0,0
0,2,male,19.0,36.75,2,0
1,3,male,27.0,7.7958,0,0
0,3,female,9.0,34.375,4,0
0,2,male,36.5,26.0,2,1
0,2,male,42.0,13.0,0,0
0,2,male,51.0,12.525,0,0
1,1,female,22.0,66.6,1,1
0,3,male,55.5,8.05,0,0
0,3,male,40.5,14.5,2,0
0,3,male,29.69911764705882,7.3125,0,0
0,1,male,51.0,61.3792,1,0
1,3,female,16.0,7.7333,0,0
0,3,male,30.0,8.05,0,0
0,3,male,29.69911764705882,8.6625,0,0
0,3,male,29.69911764705882,69.55,10,0
0,3,male,44.0,16.1,1,0
1,2,female,40.0,15.75,0,0
0,3,male,26.0,7.775,0,0
0,3,male,17.0,8.6625,0,0
0,3,male,1.0,39.6875,5,0
1,3,male,9.0,20.525,2,0
1,1,female,29.69911764705882,55.0,1,1
0,3,female,45.0,27.9,5,0
0,1,male,29.69911764705882,25.925,0,0
0,3,male,28.0,56.4958,0,0
0,1,male,61.0,33.5,0,1
0,3,male,4.0,29.125,5,0
1,3,female,1.0,11.1333,2,0
0,3,male,21.0,7.925,0,0
0,1,male,56.0,30.6958,0,1
0,3,male,18.0,7.8542,2,0
0,3,male,29.69911764705882,25.4667,4,0
0,1,female,50.0,28.7125,0,1
0,2,male,30.0,13.0,0,0
0,3,male,36.0,0.0,0,0
0,3,female,29.69911764705882,69.55,10,0
0,2,male,29.69911764705882,15.05,0,0
0,3,male,9.0,31.3875,6,0
1,2,male,1.0,39.0,3,1
1,3,female,4.0,22.025,2,0
0,1,male,29.69911764705882,50.0,0,1
1,3,female,29.69911764705882,15.5,1,0
1,1,male,45.0,26.55,0,0
0,3,male,40.0,15.5,2,0
0,3,male,36.0,7.8958,0,0
1,2,female,32.0,13.0,0,0
0,2,male,19.0,13.0,0,0
1,3,female,19.0,7.8542,1,0
1,2,male,3.0,26.0,2,1
1,1,female,44.0,27.7208,0,1
1,1,female,58.0,146.5208,0,1
0,3,male,29.69911764705882,7.75,0,0
0,3,male,42.0,8.4042,1,0
1,3,female,29.69911764705882,7.75,0,0
0,2,female,24.0,13.0,0,0
0,3,male,28.0,9.5,0,0
0,3,male,29.69911764705882,69.55,10,0
0,3,male,34.0,6.4958,0,0
0,3,male,45.5,7.225,0,0
1,3,male,18.0,8.05,0,0
0,3,female,2.0,10.4625,1,1
0,3,male,32.0,15.85,1,0
1,3,male,26.0,18.7875,0,0
1,3,female,16.0,7.75,0,0
1,1,male,40.0,31.0,0,1
0,3,male,24.0,7.05,0,0
1,2,female,35.0,21.0,0,0
0,3,male,22.0,7.25,0,0
0,2,male,30.0,13.0,0,0
0,3,male,29.69911764705882,7.75,1,0
1,1,female,31.0,113.275,1,1
1,3,female,27.0,7.925,0,0
0,2,male,42.0,27.0,1,0
1,1,female,32.0,76.2917,0,1
0,2,male,30.0,10.5,0,0
1,3,male,16.0,8.05,0,0
0,2,male,27.0,13.0,0,0
0,3,male,51.0,8.05,0,0
0,3,male,29.69911764705882,7.8958,0,0
1,1,male,38.0,90.0,1,1
0,3,male,22.0,9.35,0,0
1,2,male,19.0,10.5,0,0
0,3,male,20.5,7.25,0,0
0,2,male,18.0,13.0,0,0
0,3,female,29.69911764705882,25.4667,4,0
1,1,female,35.0,83.475,1,1
0,3,male,29.0,7.775,0,0
0,2,male,59.0,13.5,0,0
1,3,female,5.0,31.3875,6,0
0,2,male,24.0,10.5,0,0
0,3,female,29.69911764705882,7.55,0,0
0,2,male,44.0,26.0,1,0
1,2,female,8.0,26.25,2,0
0,2,male,19.0,10.5,0,0
0,2,male,33.0,12.275,0,0
0,3,female,29.69911764705882,14.4542,1,0
1,3,female,29.69911764705882,15.5,1,0
0,2,male,29.0,10.5,0,0
0,3,male,22.0,7.125,0,0
0,3,male,30.0,7.225,0,0
0,1,male,44.0,90.0,2,1
0,3,female,25.0,7.775,0,0
1,2,female,24.0,14.5,2,0
1,1,male,37.0,52.5542,2,1
0,2,male,54.0,26.0,1,0
0,3,male,29.69911764705882,7.25,0,0
0,3,female,29.0,10.4625,2,1
0,1,male,62.0,26.55,0,1
0,3,male,30.0,16.1,1,0
0,3,female,41.0,20.2125,2,0
1,3,female,29.0,15.2458,2,0
1,1,female,29.69911764705882,79.2,0,0
1,1,female,30.0,86.5,0,1
1,1,female,35.0,512.3292,0,0
1,2,female,50.0,26.0,1,0
0,3,male,29.69911764705882,7.75,0,0
1,3,male,3.0,31.3875,6,0
0,1,male,52.0,79.65,2,1
0,1,male,40.0,0.0,0,1
0,3,female,29.69911764705882,7.75,0,0
0,2,male,36.0,10.5,0,0
0,3,male,16.0,39.6875,5,0
1,3,male,25.0,7.775,1,0
1,1,female,58.0,153.4625,1,1
1,1,female,35.0,135.6333,0,1
0,1,male,29.69911764705882,31.0,0,0
1,3,male,25.0,0.0,0,0
1,2,female,41.0,19.5,1,0
0,1,male,37.0,29.7,1,1
1,3,female,29.69911764705882,7.75,0,0
1,1,female,63.0,77.9583,1,1
0,3,female,45.0,7.75,0,0
0,2,male,29.69911764705882,0.0,0,0
0,3,male,7.0,29.125,5,0
1,3,female,35.0,20.25,2,0
0,3,male,65.0,7.75,0,0
0,3,male,28.0,7.8542,0,0
0,3,male,16.0,9.5,0,0
1,3,male,19.0,8.05,0,0
0,1,male,29.69911764705882,26.0,0,1
0,3,male,33.0,8.6625,0,0
1,3,male,30.0,9.5,0,0
0,3,male,22.0,7.8958,0,0
1,2,male,42.0,13.0,0,0
1,3,female,22.0,7.75,0,0
1,1,female,26.0,78.85,0,0
1,1,female,19.0,91.0792,1,1
0,2,male,36.0,12.875,0,1
0,3,female,24.0,8.85,0,0
0,3,male,24.0,7.8958,0,0
0,1,male,29.69911764705882,27.7208,0,0
0,3,male,23.5,7.2292,0,0
0,1,female,2.0,151.55,3,1
1,1,male,29.69911764705882,30.5,0,1
1,1,female,50.0,247.5208,1,1
1,3,female,29.69911764705882,7.75,0,0
1,3,male,29.69911764705882,23.25,2,0
0,3,male,19.0,0.0,0,0
1,2,female,29.69911764705882,12.35,0,1
0,3,male,29.69911764705882,8.05,0,0
1,1,male,0.92,151.55,3,1
1,1,female,29.69911764705882,110.8833,0,0
1,1,female,17.0,108.9,1,1
0,2,male,30.0,24.0,1,0
1,1,female,30.0,56.9292,0,1
1,1,female,24.0,83.1583,0,1
1,1,female,18.0,262.375,4,1
0,2,female,26.0,26.0,2,0
0,3,male,28.0,7.8958,0,0
0,2,male,43.0,26.25,2,0
1,3,female,26.0,7.8542,0,0
1,2,female,24.0,26.0,1,0
0,2,male,54.0,14.0,0,0
1,1,female,31.0,164.8667,2,1
1,1,female,40.0,134.5,2,1
0,3,male,22.0,7.25,0,0
0,3,male,27.0,7.8958,0,0
1,2,female,30.0,12.35,0,0
1,2,female,22.0,29.0,2,0
0,3,male,29.69911764705882,69.55,10,0
1,1,female,36.0,135.6333,0,1
0,3,male,61.0,6.2375,0,0
1,2,female,36.0,13.0,0,1
1,3,female,31.0,20.525,2,0
1,1,female,16.0,57.9792,1,1
1,3,female,29.69911764705882,23.25,2,0
0,1,male,45.5,28.5,0,1
0,1,male,38.0,153.4625,1,1
0,3,male,16.0,18.0,2,0
1,1,female,29.69911764705882,133.65,1,0
0,3,male,29.69911764705882,7.8958,0,0
0,1,male,29.0,66.6,1,1
1,1,female,41.0,134.5,0,1
1,3,male,45.0,8.05,0,0
0,1,male,45.0,35.5,0,1
1,2,male,2.0,26.0,2,1
1,1,female,24.0,263.0,5,1
0,2,male,28.0,13.0,0,0
0,2,male,25.0,13.0,0,0
0,2,male,36.0,13.0,0,0
1,2,female,24.0,13.0,0,1
1,2,female,40.0,13.0,0,0
1,3,female,29.69911764705882,16.1,1,0
1,3,male,3.0,15.9,2,0
0,3,male,42.0,8.6625,0,0
0,3,male,23.0,9.225,0,0
0,1,male,29.69911764705882,35.0,0,1
0,3,male,15.0,7.2292,2,0
0,3,male,25.0,17.8,1,0
0,3,male,29.69911764705882,7.225,0,0
0,3,male,28.0,9.5,0,0
1,1,female,22.0,55.0,1,1
0,2,female,38.0,13.0,0,0
1,3,female,29.69911764705882,7.8792,0,0
1,3,female,29.69911764705882,7.8792,0,0
0,3,male,40.0,27.9,5,0
0,2,male,29.0,27.7208,1,0
0,3,female,45.0,14.4542,1,0
0,3,male,35.0,7.05,0,0
0,3,male,29.69911764705882,15.5,1,0
0,3,male,30.0,7.25,0,0
1,1,female,60.0,75.25,1,1
1,3,female,29.69911764705882,7.2292,0,0
1,3,female,29.69911764705882,7.75,0,0
1,1,female,24.0,69.3,0,1
1,1,male,25.0,55.4417,1,1
0,3,male,18.0,6.4958,1,0
0,3,male,19.0,8.05,0,0
0,1,male,22.0,135.6333,0,0
0,3,female,3.0,21.075,4,0
1,1,female,29.69911764705882,82.1708,1,0
1,3,female,22.0,7.25,0,0
0,1,male,27.0,211.5,2,1
0,3,male,20.0,4.0125,0,0
0,3,male,19.0,7.775,0,0
1,1,female,42.0,227.525,0,0
1,3,female,1.0,15.7417,2,0
0,3,male,32.0,7.925,0,0
1,1,female,35.0,52.0,1,0
0,3,male,29.69911764705882,7.8958,0,0
0,2,male,18.0,73.5,0,0
0,3,male,1.0,46.9,7,0
1,2,female,36.0,13.0,0,0
0,3,male,29.69911764705882,7.7292,0,0
1,2,female,17.0,12.0,0,0
1,1,male,36.0,120.0,3,1
1,3,male,21.0,7.7958,0,0
0,3,male,28.0,7.925,2,0
1,1,female,23.0,113.275,1,1
1,3,female,24.0,16.7,2,1
0,3,male,22.0,7.7958,0,0
0,3,female,31.0,7.8542,0,0
0,2,male,46.0,26.0,0,0
0,2,male,23.0,10.5,0,0
1,2,female,28.0,12.65,0,0
1,3,male,39.0,7.925,0,0
0,3,male,26.0,8.05,0,0
0,3,female,21.0,9.825,1,0
0,3,male,28.0,15.85,1,0
0,3,female,20.0,8.6625,0,0
0,2,male,34.0,21.0,1,0
0,3,male,51.0,7.75,0,0
1,2,male,3.0,18.75,2,0
0,3,male,21.0,7.775,0,0
0,3,female,29.69911764705882,25.4667,4,0
0,3,male,29.69911764705882,7.8958,0,0
0,3,male,29.69911764705882,6.8583,0,0
1,1,female,33.0,90.0,1,1
0,2,male,29.69911764705882,0.0,0,0
1,3,male,44.0,7.925,0,0
0,3,female,29.69911764705882,8.05,0,0
1,2,female,34.0,32.5,2,0
1,2,female,18.0,13.0,2,0
0,2,male,30.0,13.0,0,0
0,3,female,10.0,24.15,2,0
0,3,male,29.69911764705882,7.8958,0,0
0,3,male,21.0,7.7333,0,0
0,3,male,29.0,7.875,0,0
0,3,female,28.0,14.4,2,0
0,3,male,18.0,20.2125,2,0
0,3,male,29.69911764705882,7.25,0,0
1,2,female,28.0,26.0,1,0
1,2,female,19.0,26.0,0,0
0,3,male,29.69911764705882,7.75,0,0
1,3,male,32.0,8.05,0,1
1,1,male,28.0,26.55,0,1
1,3,female,29.69911764705882,16.1,1,0
1,2,female,42.0,26.0,1,0
0,3,male,17.0,7.125,0,0
0,1,male,50.0,55.9,1,1
1,1,female,14.0,120.0,3,1
0,3,female,21.0,34.375,4,0
1,2,female,24.0,18.75,5,0
0,1,male,64.0,263.0,5,1
0,2,male,31.0,10.5,0,0
1,2,female,45.0,26.25,2,0
0,3,male,20.0,9.5,0,0
0,3,male,25.0,7.775,1,0
1,2,female,28.0,13.0,0,0
